roll,pitch,yaw
0.00509,0.02462,0.71543
0.00481,0.02409,0.7151
0.00343,0.023389999,0.71475
0.0050999997,0.02457,0.71464
0.0043200003,0.023950001,0.71422
0.0051599997,0.02334,0.71392
0.0071199997,0.024600001,0.71382
0.00625,0.02428,0.71355
0.0072399997,0.024430001,0.71332
0.00892,0.02592,0.71315
0.0076,0.02499,0.71292996
0.00883,0.02507,0.71278006
0.00956,0.02695,0.71258
0.009,0.02599,0.71243
0.00927,0.02657,0.71202004
0.007900001,0.02733,0.71178
0.00989,0.026700001,0.71157
0.00945,0.02657,0.7112
0.00783,0.02581,0.71101004
0.009930001,0.0268,0.71077
0.00861,0.02626,0.71045
0.009430001,0.026530001,0.71034
0.01185,0.02643,0.70996004
0.01065,0.025549999,0.7097
0.01131,0.0263,0.70958
0.0127,0.02769,0.70937
0.01186,0.02669,0.7093
0.01146,0.02627,0.70906
0.01273,0.027299998,0.70884
0.01287,0.02673,0.7087
0.01229,0.02658,0.70829
0.01368,0.02579,0.70809
0.01274,0.02688,0.70774
0.0127,0.02801,0.70735997
0.01421,0.028450001,0.70703006
0.01311,0.02767,0.70686
0.01485,0.0266,0.70657
0.01406,0.0276,0.70633
0.01299,0.027040001,0.70627004
0.01428,0.02742,0.70605
0.0136899995,0.02825,0.70585996
0.0132100005,0.027180001,0.70577
0.01367,0.02803,0.70532
0.01272,0.028870001,0.70518
0.01378,0.028,0.7047
0.0139,0.028719999,0.70431
0.01316,0.02727,0.70426
0.012390001,0.02579,0.70388
0.01332,0.02761,0.7037
0.01288,0.027590001,0.70347
0.01167,0.02562,0.70309997
0.0134499995,0.02686,0.703
0.013,0.0278,0.70259005
0.01172,0.026719999,0.70251
0.01337,0.02733,0.70229
0.01506,0.02754,0.70203996
0.01383,0.02697,0.70203
0.013590001,0.02774,0.70173997
0.01474,0.026209999,0.70170003
0.0135,0.025139999,0.70154
0.01449,0.0264,0.70125
0.01595,0.02757,0.70115995
0.01479,0.02674,0.70082
0.0154099995,0.02561,0.7005
0.016549999,0.027870001,0.70034003
0.01576,0.02654,0.7
0.01643,0.02489,0.69958
0.0175,0.02574,0.69955
0.0166,0.02537,0.69919
0.01592,0.02634,0.69907004
0.01645,0.02493,0.69887
0.01647,0.02374,0.69846004
0.015439999,0.02307,0.69834995
0.016959999,0.02299,0.69790995
0.016700001,0.02417,0.69744
0.01651,0.02323,0.69721997
0.01587,0.02227,0.69672996
0.01673,0.02317,0.69665
0.01608,0.02335,0.69631
0.01556,0.0221,0.69618
0.01584,0.023190001,0.69608
0.017350001,0.02375,0.69593
0.016760001,0.02423,0.69589
0.01539,0.02417,0.69571
0.01731,0.02449,0.69571
0.0166,0.02508,0.69547
0.01576,0.02368,0.69517
0.01708,0.023219999,0.69501
0.01716,0.02428,0.69465995
0.01675,0.02422,0.69442
0.01562,0.024559999,0.69411
0.016239999,0.02506,0.69338
0.0174,0.023610001,0.69321
0.016110001,0.022149999,0.69313
0.01751,0.023559999,0.69296
0.01734,0.02384,0.69311
0.016760001,0.0224,0.69301003
0.01723,0.02384,0.693
0.016959999,0.02471,0.69313
0.016760001,0.0237,0.69276
0.01567,0.02307,0.6928
0.01715,0.022969998,0.69255
0.01758,0.02376,0.69233
0.016889999,0.02284,0.69232
0.01633,0.02228,0.69203997
0.01816,0.023629999,0.69228005
0.01809,0.02173,0.69208
0.01944,0.02204,0.69183004
0.02102,0.0231,0.69195
0.02075,0.02174,0.69198
0.02074,0.02201,0.69221
0.020629998,0.01956,0.69235
0.02245,0.01961,0.69268
0.02283,0.020370001,0.693
0.02247,0.019299999,0.69347996
0.02323,0.017350001,0.69361997
0.02475,0.01456,0.69398
0.02627,0.015229999,0.6943
0.02626,0.01451,0.69446003
0.028520001,0.014810001,0.69469
0.02944,0.015520001,0.69466996
0.02901,0.0137600005,0.69504
0.03102,0.01342,0.69532
0.031540003,0.01091,0.69553995
0.03299,0.010989999,0.69594
0.03288,0.00996,0.69634
0.03362,0.00991,0.69690996
0.03387,0.00771,0.69740003
0.03386,0.00552,0.69808
0.03539,0.0062800003,0.69874
0.03539,0.0052,0.69977003
0.035779998,0.0041,0.70040995
0.03725,0.00131,0.70111
0.03723,2.9E-4,0.70201004
0.03773,-9.1E-4,0.70328003
0.039970003,-0.00126,0.70457
0.04087,-0.00177,0.70579
0.0423,-0.0011,0.70732003
0.04285,-0.0028,0.70866996
0.04577,-0.00471,0.70995003
0.04899,-0.00389,0.71168
0.04967,-0.0043,0.71291
0.052419998,-0.00398,0.71440005
0.0524,-0.00623,0.71552
0.054279998,-0.0056999996,0.71709996
0.055099998,-0.00465,0.7184
0.05524,-0.00568,0.71988
0.055990003,-0.00827,0.72109
0.05646,-0.01076,0.72265005
0.059049997,-0.01115,0.72411
0.05993,-0.01331,0.72564
0.06109,-0.013859999,0.72688
0.06144,-0.015689999,0.72844
0.06122,-0.01779,0.7299
0.063319996,-0.01791,0.73138
0.06324,-0.02011,0.73289
0.06404,-0.02042,0.73439
0.064330004,-0.02251,0.73591
0.065050006,-0.02416,0.73775
0.066379994,-0.024360001,0.73928005
0.06749,-0.02492,0.74138
0.06974,-0.02409,0.74285996
0.070879996,-0.025530001,0.74501
0.07208,-0.02815,0.74653995
0.07299,-0.02927,0.74860996
0.075389996,-0.028889999,0.75066996
0.07672,-0.02853,0.75276
0.07757,-0.02898,0.75492
0.07846,-0.02866,0.75699
0.078830004,-0.02931,0.75925
0.0805,-0.028870001,0.76138
0.080800004,-0.02978,0.76355
0.08163,-0.029930001,0.7661
0.08213,-0.03011,0.7683
0.08274,-0.03131,0.77112
0.08325,-0.03326,0.77304
0.08366001,-0.03522,0.77560997
0.08607,-0.03641,0.77790004
0.0867,-0.038259998,0.7802
0.087120004,-0.039970003,0.78257
0.08727,-0.04224,0.78503996
0.08894999,-0.04189,0.78755
0.08935,-0.04228,0.79091996
0.089339994,-0.042400002,0.79375
0.09042,-0.04224,0.79721004
0.091400005,-0.04357,0.7999
0.092,-0.04466,0.80319
0.09346,-0.04495,0.80602
0.09471,-0.045,0.80918
0.09515,-0.04635,0.81218
0.095120005,-0.04775,0.81571
0.095970005,-0.048040003,0.81878
0.097260006,-0.04757,0.82242
0.09832,-0.04752,0.82551
0.09887,-0.047259998,0.82912
0.09876,-0.04803,0.83206
0.101220004,-0.04985,0.83493
0.102309994,-0.04942,0.83761
0.1025,-0.048490003,0.84077
0.10178,-0.047599997,0.84362
0.10153,-0.050279997,0.84634
0.10208999,-0.04907,0.84895
0.10121,-0.0474,0.8523
0.09996,-0.04761,0.85487
0.099379994,-0.0458,0.85817
0.09791,-0.04502,0.861
0.096300006,-0.04276,0.86437
0.09528,-0.039970003,0.86744
0.0929,-0.0395,0.87053
0.09233,-0.03725,0.87359995
0.09045,-0.03416,0.87697
0.08798,-0.03284,0.87981
0.08602,-0.03158,0.88241
0.0824,-0.029280001,0.88556
0.0791,-0.0254,0.8896
0.07601,-0.023389999,0.89286
0.07211,-0.02195,0.89665
0.07080001,-0.01812,0.90046
0.06735,-0.01429,0.90468
0.06446,-0.01213,0.90858
0.06313,-0.008850001,0.91296995
0.0596,-0.0047199996,0.91690004
0.05524,-0.0021199998,0.92161
0.05211,-9.0E-5,0.92533004
0.04668,0.00404,0.92990994
0.04426,0.00685,0.93394
0.039470002,0.009810001,0.93839
0.034930002,0.01316,0.94276
0.03181,0.0168,0.94764
0.028129999,0.02187,0.95189
0.0233,0.02559,0.95724
0.01883,0.02905,0.96130997
0.01565,0.03343,0.96613
0.01235,0.03569,0.97043
0.00651,0.0414,0.97481
0.00142,0.04409,0.97890997
-0.00367,0.0468,0.98366
-0.00642,0.05264,0.98754
-0.01165,0.057099998,0.99234
-0.01458,0.05668,0.99592
-0.01143,0.05664,0.99941
