timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,rollLevel,pitchLevel,yawLevel,rollPid,pitchPid,yawPid,output0,output1,output2,output3
5147,1731,-1388,15494,-18.09,85.66,-34.85,454.26,-51.01,1284.32,-109.65,-87.94,-214.07,-5670.21,-5664.14,285.29,-668.37,-661.82,-59.99,1111,1111,1111,1111
5153,1753,-1407,15505,-19.15,85.93,-36.98,454.26,-51.01,1284.32,-109.76,-88.99,-214.14,-5670.21,-5664.14,285.29,-666.57,-662.52,-60.35,1111,1111,1111,1111
5160,1767,-1406,15484,-19.95,90.19,-32.99,454.26,-49.39,1284.32,-110.18,-89.78,-214.28,-5670.21,-5664.14,285.29,-664.85,-664.43,-60.73,1111,1111,1111,1111
5166,1738,-1392,15451,-17.56,86.19,-33.25,454.26,-49.39,1284.32,-110.44,-90.16,-214.42,-5670.21,-5664.14,285.29,-665.49,-666.44,-60.89,1111,1111,1111,1111
5173,1773,-1432,15547,-19.42,86.99,-35.12,454.26,-49.39,1284.32,-110.80,-90.96,-214.60,-5670.21,-5664.14,285.29,-665.07,-664.27,-61.01,1111,1111,1111,1111
5179,1710,-1362,15444,-22.35,88.85,-33.25,454.26,-49.39,1284.32,-109.99,-90.03,-214.95,-5670.21,-5664.14,285.29,-672.64,-675.03,-62.36,1111,1111,1111,1111
5185,1772,-1365,15376,-17.03,90.19,-36.45,454.26,-49.39,1284.32,-110.62,-89.85,-215.25,-5670.21,-5664.14,285.29,-663.59,-669.95,-61.73,1111,1111,1111,1111
5191,1726,-1411,15445,-22.08,87.26,-36.71,454.26,-49.39,1284.32,-110.28,-90.81,-215.35,-5670.21,-5664.14,285.29,-669.35,-662.63,-60.74,1111,1111,1111,1111
5197,1749,-1388,15456,-18.62,89.65,-35.12,454.26,-49.39,1284.32,-110.66,-90.40,-215.67,-5670.21,-5664.14,285.29,-664.99,-671.19,-61.95,1111,1111,1111,1111
5203,1751,-1370,15465,-20.48,85.93,-33.52,454.26,-49.39,1284.32,-110.89,-89.79,-215.96,-5670.21,-5664.14,285.29,-665.66,-672.76,-61.97,1111,1111,1111,1111
5211,1750,-1360,15462,-19.69,82.74,-33.79,454.26,-49.39,1284.32,-111.14,-89.18,-216.23,-5670.21,-5664.14,285.29,-665.63,-672.53,-61.74,1111,1111,1111,1111
5216,1753,-1364,15535,-19.42,85.66,-34.32,454.26,-49.39,1284.32,-111.25,-88.87,-216.39,-5670.21,-5664.14,285.29,-666.36,-671.08,-61.22,1111,1111,1111,1111
5223,1703,-1352,15469,-20.22,87.79,-36.45,454.26,-49.39,1284.32,-109.64,-88.61,-216.57,-5670.21,-5664.14,285.29,-676.45,-670.54,-61.27,1111,1111,1111,1111
5229,1738,-1403,15523,-18.36,85.13,-33.25,454.26,-49.39,1284.32,-109.68,-89.58,-216.61,-5670.21,-5664.14,285.29,-667.01,-662.69,-60.50,1111,1111,1111,1111
5235,1747,-1394,15491,-19.15,85.40,-36.45,454.26,-49.39,1284.32,-110.12,-90.13,-216.76,-5670.21,-5664.14,285.29,-664.66,-665.71,-61.09,1111,1111,1111,1111
5241,1746,-1402,15433,-19.15,86.19,-34.32,454.26,-49.39,1284.32,-110.48,-90.65,-216.90,-5670.21,-5664.14,285.29,-664.86,-665.49,-61.16,1111,1111,1111,1111
5248,1781,-1381,15395,-21.02,87.79,-33.52,454.26,-49.39,1284.32,-111.12,-90.55,-217.17,-5670.21,-5664.14,285.29,-663.44,-669.41,-61.84,1111,1111,1111,1111
5254,1740,-1405,15384,-16.23,86.99,-34.85,454.26,-49.39,1284.32,-111.22,-91.13,-217.32,-5670.21,-5664.14,285.29,-666.48,-665.12,-61.24,1111,1111,1111,1111
