timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,rollLevel,pitchLevel,yawLevel,rollPid,pitchPid,yawPid,output0,output1,output2,output3
29952,342,-134,15574,-16.76,86.73,-35.12,214.51,305.26,1387.54,-21.87,-10.61,-1057.31,-22.34,-10.81,-1057.10,-72.66,-74.71,-109.73,1111,1111,1111,1111
29958,332,-110,15551,-14.63,89.12,-36.71,214.51,305.26,1387.54,-21.38,-10.20,-1057.51,-22.34,-10.81,-1057.10,-63.89,-65.62,-96.06,1111,1111,1111,1111
29965,316,-109,15574,-16.23,89.92,-36.45,214.51,305.26,1387.54,-20.81,-9.85,-1057.70,-22.34,-10.81,-1057.10,-55.78,-57.10,-83.33,1111,1111,1111,1111
29971,349,-105,15591,-13.83,89.92,-34.05,214.51,305.26,1387.54,-20.74,-9.58,-1057.85,-22.34,-10.81,-1057.10,-49.00,-50.30,-73.21,1111,1111,1111,1111
29977,357,-143,15598,-18.09,88.59,-35.91,214.51,305.26,1387.54,-20.78,-9.78,-1058.01,-22.34,-10.81,-1057.10,-42.53,-43.54,-63.70,1111,1111,1111,1111
29983,386,-146,15581,-17.56,89.65,-34.58,214.51,305.26,1387.54,-21.00,-9.95,-1058.16,-22.34,-10.81,-1057.10,-37.09,-38.00,-55.90,1111,1111,1111,1111
29990,359,-154,15692,-17.03,89.65,-34.58,214.51,305.26,1387.54,-20.98,-10.19,-1058.32,-22.34,-10.81,-1057.10,-31.93,-32.50,-48.21,1111,1111,1111,1111
30010,313,-125,15616,-15.43,89.12,-33.25,214.51,305.26,1387.54,-19.56,-9.74,-1058.75,-22.28,-10.77,-1057.10,-20.90,-20.44,-30.14,1111,1111,1111,1111
30016,419,-93,15616,-16.49,84.60,-34.58,214.51,305.26,1387.54,-20.01,-9.57,-1058.91,-22.28,-10.77,-1057.10,-18.02,-18.07,-26.57,1111,1111,1111,1111
30023,431,-196,15584,-14.63,87.52,-34.32,214.51,305.26,1387.54,-20.46,-10.12,-1059.07,-22.28,-10.77,-1057.10,-15.22,-15.17,-23.07,1111,1111,1111,1111
30029,372,-105,15586,-15.43,87.26,-35.91,214.51,305.26,1387.54,-20.63,-9.88,-1059.23,-22.28,-10.77,-1057.10,-13.26,-13.51,-20.40,1111,1111,1111,1111
30035,330,-145,15639,-17.56,87.26,-33.25,216.09,305.26,1387.54,-20.52,-10.12,-1059.34,-22.28,-10.77,-1057.10,-11.52,-11.45,-17.67,1111,1111,1111,1111
30042,323,-115,15605,-14.10,90.72,-35.91,216.09,305.26,1387.54,-20.35,-9.95,-1059.46,-22.28,-10.77,-1057.10,-10.25,-10.18,-15.62,1111,1111,1111,1111
30062,367,-127,15610,-16.49,88.06,-33.52,216.09,305.26,1387.54,-21.05,-10.03,-1059.84,-22.21,-10.73,-1057.10,-5.71,-6.12,-9.85,1111,1111,1111,1111
30068,363,-112,15683,-15.16,86.99,-34.58,216.09,305.26,1387.54,-21.14,-9.86,-1059.97,-22.21,-10.73,-1057.10,-4.96,-5.52,-8.78,1111,1111,1111,1111
30075,362,-172,15598,-16.49,86.99,-33.52,214.51,305.26,1387.54,-21.17,-10.33,-1060.11,-22.21,-10.73,-1057.10,-4.27,-4.40,-7.72,1111,1111,1111,1111
30082,357,-155,15618,-17.03,88.06,-34.32,214.51,305.26,1387.54,-21.15,-10.50,-1060.25,-22.21,-10.73,-1057.10,-3.77,-3.72,-6.92,1111,1111,1111,1111
30088,312,-148,15606,-17.82,90.45,-32.99,216.09,305.26,1387.54,-20.68,-10.64,-1060.37,-22.21,-10.73,-1057.10,-3.63,-3.10,-6.09,1111,1111,1111,1111
30094,401,-136,15581,-17.29,88.06,-33.25,216.09,305.26,1387.54,-21.01,-10.66,-1060.50,-22.21,-10.73,-1057.10,-2.95,-2.71,-5.50,1111,1111,1111,1111
30113,396,-128,15583,-15.70,87.79,-33.52,216.09,303.64,1387.54,-21.98,-10.48,-1060.89,-22.15,-10.69,-1057.10,-1.09,-1.82,-3.87,1111,1111,1111,1111
30119,396,-119,15567,-16.23,85.40,-32.99,216.09,303.64,1387.54,-22.21,-10.34,-1061.02,-22.15,-10.69,-1057.10,-0.79,-1.71,-3.55,1111,1111,1111,1111
30127,364,-161,15620,-17.03,86.19,-32.99,216.09,305.26,1387.54,-22.13,-10.62,-1061.16,-22.15,-10.69,-1057.10,-0.74,-1.25,-3.23,1111,1111,1111,1111
30133,415,-130,15591,-16.23,84.07,-31.66,216.09,305.26,1387.54,-22.42,-10.54,-1061.30,-22.15,-10.69,-1057.10,-0.41,-1.16,-2.99,1111,1111,1111,1111
30140,340,-132,15657,-15.96,88.59,-32.19,216.09,305.26,1387.54,-21.99,-10.41,-1061.44,-22.15,-10.69,-1057.10,-0.69,-1.10,-2.76,1111,1111,1111,1111
30146,350,-156,15652,-17.03,87.79,-33.79,216.09,305.26,1387.54,-21.82,-10.61,-1061.55,-22.15,-10.69,-1057.10,-0.74,-0.82,-2.57,1111,1111,1111,1111
30166,370,-141,15620,-16.23,88.06,-34.32,216.09,305.26,1387.54,-21.95,-10.64,-1061.97,-22.08,-10.66,-1057.10,-0.36,-0.47,-2.11,1111,1111,1111,1111
