6808,650,-568,15702,-36,174,-78,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
6829,636,-602,15682,-36,174,-78,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
6849,628,-590,15720,-36,174,-78,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
6870,628,-586,15720,-36,176,-80,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
6889,632,-574,15720,-32,186,-81,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
6909,592,-588,15716,-37,178,-80,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
6929,624,-582,15704,-38,171,-86,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
6989,628,-566,15750,-34,179,-78,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7010,620,-562,15710,-36,178,-78,-0.04,-0.04,-2.32,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7030,638,-580,15658,-37,179,-78,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7050,650,-572,15682,-35,179,-81,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7110,660,-584,15716,-36,174,-79,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7130,628,-574,15712,-33,177,-81,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7150,628,-574,15702,-38,177,-81,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7170,628,-568,15702,-37,177,-76,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7190,638,-568,15760,-36,183,-81,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7211,628,-574,15730,-37,179,-80,-0.04,-0.04,-2.30,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7230,640,-564,15716,-34,177,-81,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7250,644,-584,15722,-40,174,-83,-0.04,-0.04,-2.32,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7270,600,-584,15678,-36,174,-80,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7290,628,-584,15678,-36,174,-84,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7310,654,-572,15678,-35,173,-82,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7351,630,-570,15674,-39,175,-82,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7371,638,-564,15674,-36,180,-78,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7391,660,-564,15696,-34,180,-78,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7411,616,-578,15708,-36,179,-70,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7431,662,-558,15722,-37,181,-77,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7451,620,-560,15722,-36,180,-83,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7471,634,-562,15672,-36,181,-83,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7491,634,-562,15720,-32,181,-74,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7512,664,-560,15686,-36,176,-74,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7532,648,-598,15756,-36,176,-78,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7553,622,-584,15726,-36,176,-80,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7572,634,-544,15756,-36,173,-80,-0.04,-0.03,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7592,636,-560,15724,-33,176,-82,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7612,638,-580,15706,-36,175,-78,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7632,634,-588,15704,-36,173,-80,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7672,616,-578,15648,-36,178,-78,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7692,648,-578,15746,-35,178,-74,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7712,626,-574,15718,-36,177,-78,-0.04,-0.04,-2.32,-0.04,-0.04,-2.32,-0.02,0.02,-0.58,
7732,640,-554,15732,-34,177,-81,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7752,622,-554,15680,-38,177,-80,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
7772,622,-554,15694,-36,176,-78,-0.04,-0.04,-2.31,-0.04,-0.04,-2.31,-0.02,0.02,-0.58,
