95151,-23.80,-5.99,-1115.04,13.10,-5.94,-19.07,
95160,-23.78,-6.49,-1114.98,12.95,-4.90,-19.07,
95169,-23.62,-6.61,-1114.91,12.46,-6.26,-19.02,
95180,-23.73,-6.85,-1114.84,13.39,-5.77,-19.05,
95191,-24.06,-6.97,-1114.83,14.40,-6.20,-19.21,
95200,-23.82,-6.90,-1114.90,12.35,-6.85,-19.53,
95210,-24.05,-6.60,-1115.02,14.07,-7.70,-19.70,
95220,-23.83,-6.42,-1115.02,12.41,-7.29,-19.27,
95230,-23.93,-6.54,-1115.00,13.57,-6.25,-19.23,
95241,-23.34,-5.87,-1115.04,11.10,-9.09,-19.26,
95250,-23.41,-5.75,-1115.06,13.39,-7.21,-19.16,
95260,-23.90,-5.75,-1115.07,14.93,-6.78,-19.14,
95270,-24.20,-5.76,-1115.11,14.31,-6.71,-19.26,
95281,-24.54,-5.60,-1115.17,14.49,-7.36,-19.36,
95291,-24.98,-5.32,-1115.24,14.93,-7.83,-19.57,
95301,-24.36,-4.92,-1115.26,11.09,-8.30,-19.37,
95311,-24.36,-5.09,-1115.24,13.29,-6.26,-19.27,
95322,-24.34,-5.85,-1115.23,13.20,-4.08,-19.26,
95331,-24.28,-5.89,-1115.22,13.06,-6.63,-19.28,
95341,-24.31,-6.05,-1115.22,13.39,-6.15,-19.31,
95351,-23.94,-5.65,-1115.22,11.92,-8.19,-19.33,
95362,-23.93,-5.63,-1115.21,13.21,-6.87,-19.27,
95401,-24.58,-5.17,-1115.18,15.10,-6.99,-19.28,
95411,-24.51,-5.33,-1115.13,13.06,-6.28,-18.95,
95421,-24.59,-5.93,-1115.09,13.58,-4.63,-18.97,
95431,-24.68,-6.23,-1115.07,13.65,-5.68,-19.03,
95482,-24.67,-6.20,-1114.98,13.23,-5.17,-19.21,
95493,-24.78,-6.11,-1114.97,13.73,-7.03,-19.23,
95502,-24.64,-6.27,-1114.94,12.81,-6.13,-19.17,
95512,-24.22,-6.36,-1114.91,11.81,-6.38,-19.18,
95522,-23.82,-6.20,-1114.85,11.81,-7.27,-19.06,
95533,-24.03,-5.67,-1114.87,13.98,-8.65,-19.33,
95543,-23.79,-6.12,-1114.80,12.35,-5.15,-18.84,
95552,-24.26,-6.28,-1114.81,14.92,-6.13,-19.12,
95592,-24.40,-6.06,-1114.82,11.82,-8.33,-19.08,
95602,-24.50,-6.10,-1114.81,13.65,-6.60,-19.21,
95612,-25.24,-6.20,-1114.81,15.97,-6.35,-19.26,
95622,-25.04,-6.11,-1114.80,12.70,-7.05,-19.24,
95632,-25.02,-5.92,-1114.83,13.30,-7.41,-19.36,
95642,-24.88,-6.38,-1114.83,12.85,-5.08,-19.25,
95652,-24.49,-6.67,-1114.81,11.94,-5.60,-19.19,
95663,-24.31,-6.75,-1114.80,12.65,-6.35,-19.22,
95672,-24.44,-6.69,-1114.82,13.75,-6.87,-19.33,
95712,-24.10,-6.45,-1114.80,13.10,-6.25,-19.23,
95722,-24.24,-6.14,-1114.78,13.56,-7.83,-19.20,
95732,-24.43,-6.77,-1114.76,13.79,-4.43,-19.17,
95742,-24.72,-6.69,-1114.75,14.16,-6.89,-19.20,
95753,-25.02,-6.34,-1114.77,14.42,-7.93,-19.32,
95762,-25.48,-5.97,-1114.88,15.05,-8.02,-19.68,
95772,-25.91,-5.92,-1114.97,15.01,-6.94,-19.59,
95782,-25.40,-5.93,-1114.98,11.63,-6.71,-19.30,
95793,-25.25,-6.11,-1115.00,12.88,-6.09,-19.35,
95803,-25.50,-6.13,-1115.07,14.34,-6.66,-19.37,
95813,-25.46,-6.33,-1115.12,13.27,-5.97,-19.29,
95823,-24.96,-6.06,-1115.14,11.64,-7.68,-19.22,
95834,-24.53,-6.05,-1115.12,11.81,-6.76,-19.05,
95843,-24.35,-6.44,-1115.10,12.64,-5.31,-19.05,
95853,-23.83,-6.03,-1115.10,11.41,-8.19,-19.28,
95863,-24.21,-5.81,-1115.15,14.56,-7.54,-19.47,
95874,-24.37,-6.11,-1115.13,13.87,-5.67,-19.24,
95883,-24.47,-6.29,-1115.10,13.65,-6.04,-19.21,
95893,-24.49,-6.23,-1115.09,13.38,-6.92,-19.25,
95903,-24.42,-6.39,-1115.05,12.83,-6.15,-19.14,
95913,-24.36,-6.66,-1115.00,12.89,-5.69,-19.10,
95923,-24.15,-6.60,-1114.97,12.36,-6.87,-19.18,
95933,-24.43,-6.97,-1114.97,14.11,-5.30,-19.31,
95943,-24.61,-7.07,-1114.87,13.74,-6.23,-18.89,
95953,-24.24,-6.79,-1114.86,11.98,-7.61,-19.26,
95964,-23.93,-6.12,-1114.87,12.12,-9.07,-19.28,
95974,-23.94,-5.78,-1114.89,13.28,-7.94,-19.35,
95984,-23.79,-5.83,-1114.87,12.68,-6.59,-19.19,
95994,-23.89,-6.19,-1114.85,13.55,-5.46,-19.21,
96005,-24.24,-6.19,-1114.89,14.52,-6.70,-19.42,
96014,-24.27,-6.14,-1114.91,13.35,-6.90,-19.34,
96024,-23.85,-5.61,-1114.95,11.74,-8.65,-19.41,
96034,-24.28,-5.78,-1114.97,14.77,-6.19,-19.37,
96045,-24.51,-5.59,-1115.01,14.12,-7.46,-19.42,
96055,-24.73,-5.42,-1115.02,13.95,-7.41,-19.32,
96064,-24.58,-5.95,-1114.96,12.61,-4.88,-19.08,
96074,-24.86,-6.16,-1114.84,14.14,-6.00,-18.81,
96084,-24.21,-5.62,-1114.86,10.81,-8.68,-19.34,
96094,-24.43,-5.75,-1114.85,13.87,-6.29,-19.24,
96104,-23.90,-6.18,-1114.77,11.36,-5.21,-18.96,
96114,-23.74,-6.53,-1114.70,12.63,-5.46,-19.01,
96124,-24.04,-6.61,-1114.70,14.30,-6.36,-19.25,
96134,-24.05,-6.16,-1114.72,13.27,-8.27,-19.32,
96144,-23.72,-6.09,-1114.70,12.03,-6.97,-19.18,
96154,-23.56,-6.29,-1114.69,12.61,-6.00,-19.19,
96164,-23.44,-6.47,-1114.70,12.75,-6.06,-19.29,
96175,-23.79,-6.44,-1114.77,14.43,-6.79,-19.49,
96184,-24.01,-6.31,-1114.84,13.99,-7.12,-19.50,
96194,-24.27,-6.05,-1114.91,14.21,-7.65,-19.55,
96204,-24.13,-6.42,-1114.85,12.73,-5.38,-19.03,
